nBase,VE2_A,nHetero,nF,ATSC7are,AATSC0d,GATS1dv,GATS1s,BCUTs-1h,nBondsT,C3SP3,Xc-5d,NaasC,NssssC,NaaN,IC2,PEOE_VSA3,nHRing,nARing,nFAHRing,JGI2,MAXaaCH
2,0.14769313153895355,7,0,0.018469822485207003,0.6745562130177514,0.5610523988505723,0.6466036293920401,7.00828155470257,0,1,0.3860827634879544,6,1,1,4.6568885160932005,4.9839785209472085,2,1,1,0.07407407407407411,2.0692666691523565
2,0.12207851724264275,16,6,-0.4309496093750046,0.8849826388888891,0.3690171428571429,0.7086380342067001,8.009589562183264,0,1,1.4813470359014351,6,3,3,4.970175521464345,19.350776822204907,3,1,0,0.11111111111111116,0.96732575640449
2,0.18024305826789846,7,0,0.845670247933884,0.6859504132231407,0.4503871209440756,0.8067288254990195,7.008270998360878,0,1,0.46874301861051,5,1,1,4.680689288944332,4.9839785209472085,2,1,0,0.08771929824561406,1.937117871840094
2,0.17480860868395098,8,2,-0.2280642499999993,0.6875,0.4953821380848202,0.5887198671683626,8.002959161607487,0,2,0.5118371904769444,4,1,1,4.953055907333278,13.773234827985306,3,2,1,0.09444444444444447,1.7953788945942626
3,0.15307362413371547,5,0,-1.7977795918367243,0.6581632653061223,0.6446088648047799,0.7392682866935383,7.008271582702004,0,3,0.34848615502863844,3,1,0,4.192257208238417,0.0,1,4,0,0.05555555555555558,2.2604369803476945
0,0.14261256888424242,7,0,1.6727570037858301,0.5992428339643049,0.4981718662108953,0.6694496291908472,8.001939431462818,0,0,0.2041241452319315,5,0,0,4.344187428818823,0.0,0,0,0,0.08024691358024695,1.6997497127460912
2,0.13471171420873376,11,3,-2.179170247933893,0.6426446280991734,0.5057675987135964,0.6381198663647647,8.005283596965718,0,1,0.7546065344780266,5,1,2,5.092736022962347,23.13920218491888,3,1,0,0.08278867102396517,1.7952303548957589
3,0.12381612877594007,8,0,-1.360013319458888,0.6056191467221645,0.5238756774245733,0.7368493235943967,7.009363687168257,0,0,0.4138605412657321,8,0,0,4.440772214874176,0.0,1,0,0,0.07407407407407413,1.9436284764928693
3,0.12835355714082625,8,0,-0.5694692602040822,0.5969387755102041,0.6063471269028324,0.7204831372403148,7.009362276591027,0,0,0.36504500479682334,7,0,0,4.233906101728056,0.0,1,0,0,0.06971677559912856,1.9712872493400992
3,0.13359146529637272,7,0,-0.6392949245541836,0.5709876543209875,0.5569426980420333,0.7147943335253891,7.008274125523959,1,0,0.24719387459906544,7,0,0,4.188158633012954,0.0,1,0,0,0.058956916099773264,1.9268494954992936
