nBase,VE2_A,nHetero,nF,ATSC7are,AATSC0d,GATS1dv,GATS1s,BCUTs-1h,nBondsT,C3SP3,Xc-5d,NaasC,NssssC,NaaN,IC2,PEOE_VSA3,nHRing,nARing,nFAHRing,JGI2,MAXaaCH
2,0.1500758439333989,9,3,-3.0774987088713024,0.7755102040816325,0.451470369181412,0.6148115306851263,8.00524501207293,0,1,1.4249797096595138,6,2,1,5.10950805835677,13.17124514302446,2,2,1,0.108843537414966,1.8673302681699149
2,0.1404960492448597,8,1,2.1191777777777734,0.6529492455418383,0.5236080732667313,0.6512122580272575,8.001920381279588,0,1,0.5101100286299701,6,1,1,4.852497577104197,9.374393568622027,2,1,0,0.0888888888888889,1.957059396531799
2,0.1099199918931358,8,2,5.020204875148631,0.7514863258026159,0.438735362997658,0.5701395712059666,8.002963551759606,1,4,0.8838281224044185,5,2,1,5.055751253524455,8.78083009534964,2,3,1,0.110042735042735,1.7409756915327042
2,0.1285534493299659,11,2,3.147838660027166,0.9026708918062476,0.5258644157214457,0.6576495844139344,8.002916829868184,0,2,1.889231419522088,5,2,1,4.908535064941463,22.182605600625788,2,2,0,0.1244444444444445,1.4785579192096288
2,0.1459008045747452,12,4,7.546585743801651,0.8574380165289258,0.3976004002744927,0.6344551468611334,8.00793079751736,0,1,0.9805802090874544,6,2,1,4.92511855035714,14.366798301257695,2,1,0,0.0997732426303855,1.4487814787026454
2,0.1526613368293104,11,5,4.514894051160018,0.8054729327781083,0.4229822166005185,0.6382265259389392,8.008539522277639,0,1,0.6931227305221895,5,2,1,4.812075712505882,18.75721334893252,2,1,0,0.0839506172839506,1.6506358884000687
3,0.1413870273416254,7,0,2.1498584319526617,0.7052514792899405,0.4419407784551484,0.6485751845484882,7.008272772493777,1,1,1.009807326342567,7,1,1,4.849196208400894,4.992404732635669,2,1,0,0.1066666666666667,1.883555287855883
1,0.1362449004713118,8,0,0.514085714285731,0.6140816326530611,0.7111007278952938,0.7570548236729336,7.014582952814841,0,1,0.8190355937288492,4,0,0,5.003654623809664,8.417796984328938,0,2,0,0.0856481481481481,1.9748653937349965
0,0.1548198707061659,8,0,0.3641449999999916,0.6608333333333333,0.4805880356511967,0.5884491096081056,7.009362196576122,0,1,0.4551183572168036,4,1,1,4.276664970139767,9.778515705019029,2,1,0,0.0811965811965812,1.9689009878642807
1,0.1010672866326208,10,0,-1.832949873503104,0.6469893742621013,0.6565200035493738,0.7593822964790334,7.014585286647107,0,0,0.9204313488265112,6,0,0,5.2496643288572304,8.417796984328938,2,1,1,0.0752136752136752,1.9749577277400845
0,0.1696121459451094,6,0,-3.8734234721471057,0.6782044348296377,0.5384568850787285,0.8929074160856291,7.008283101932862,0,0,0.7932176037516315,7,0,0,3.808508410298906,0.0,2,0,0,0.0816326530612245,1.838654955554306
0,0.1522188358442604,6,0,0.1495716446124762,0.6465028355387525,0.4846938775510204,0.7252792883861173,7.008280493235298,0,2,0.4915816237971963,6,0,2,4.664653803789037,9.967957041894415,2,1,0,0.0883190883190883,2.11662745653817
1,0.1237000688158509,11,1,-0.150574999999994,0.6849922839506173,0.6100034970480149,0.7302361584533226,8.001924771226866,0,1,0.9368867239266072,6,1,0,5.002715278979705,12.808212032003755,0,0,0,0.0941619585687382,1.862508874451149
2,0.0998239664622606,12,2,2.34563125,0.7646484375,0.4119042966023618,0.5946852282522078,8.002965335590018,0,3,1.0011821466097406,7,2,3,5.271418898701707,18.74878713724405,3,2,1,0.1001821493624772,1.7328341523153077
2,0.1236729297824176,10,1,4.385408917954808,0.7826991676575507,0.4929642990065562,0.7128812708826583,8.00192245265482,1,2,2.1355018014124503,5,2,1,4.911535253927895,17.792190552950963,2,1,0,0.1174004192872118,1.5858232153181648
0,0.1238742388745781,11,0,-2.9127332857142854,0.6048979591836736,0.4733746977724219,0.521001313920286,8.00194209859656,0,0,0.7427992798267444,7,0,0,4.400759541150928,4.992404732635669,2,1,0,0.0740740740740741,1.9144400615184345
2,0.1268279591855156,11,3,-3.45019735349716,0.8095463137996223,0.4090741531095484,0.5884461321501785,8.005285875620887,1,2,0.999519050083974,7,1,1,5.186392934223818,23.147628396607335,2,2,1,0.0963718820861678,1.2958672682035777
2,0.1297073797055264,14,4,-1.780576345486112,0.7808159722222222,0.3948,0.6865892882602661,8.006007181864627,0,1,1.4813470359014351,6,2,3,5.027569011092751,23.74119186987973,3,1,0,0.1133786848072562,1.048592974035344
2,0.1214156328811723,15,6,-2.679617697704081,0.8925382653061226,0.3744884288909266,0.6269300199461355,8.009603133017173,0,2,2.2255558475088115,5,3,2,5.1597716630131325,23.13920218491888,4,1,0,0.1164021164021164,1.4306583410571785
2,0.1499004396378105,10,2,2.7292243374797174,0.7236343969713358,0.3866194464243289,0.5935344688544868,8.002961607447489,0,1,0.5910431219055516,6,1,3,4.906159452920695,18.446611551442032,3,1,1,0.0966183574879227,1.487212142815498
3,0.1452989317732977,6,0,-2.387336957908161,0.7700892857142857,0.4248818171336331,0.8241985998526159,7.008271206819419,0,2,0.7491334135702085,5,2,0,4.389034886964382,4.992404732635669,2,2,1,0.0888888888888889,2.0232452680146134
2,0.1351527922479746,12,2,8.941416568047329,0.8890532544378694,0.4684697329590442,0.7429704724601474,8.003009469607324,0,2,2.2745242466012447,6,2,3,4.829589477465241,32.1505626425202,3,1,0,0.1150793650793651,1.5248741412440907
2,0.1260205620173074,14,6,4.675599149408291,0.7644230769230769,0.3913541666666666,0.639963782921885,8.009252777956638,1,1,0.9317646726185456,6,2,2,5.286790198827114,28.13160691755455,2,1,0,0.0905349794238683,1.1228349624741427
2,0.1516315062488413,9,3,0.2484972417522996,0.7777176852352621,0.4304211557296768,0.6168232320131405,8.005281690963812,0,2,0.8529448151221674,3,1,0,4.954993533620925,18.163649875660127,1,2,1,0.1067251461988304,1.2867675264550265
3,0.1739877326618045,5,0,0.254638913580249,0.6795061728395061,0.5405907332054591,0.7314426590970252,7.008270323498921,0,1,0.6317917891898768,4,1,0,4.508193929518775,0.0,1,1,0,0.0994152046783626,2.063148148148148
3,0.1283535571408262,8,0,-0.5694692602040822,0.5969387755102041,0.6063471269028324,0.7204831372403148,7.009362276591027,0,0,0.3650450047968233,7,0,0,4.233906101728056,0.0,1,0,0,0.0697167755991285,1.9712872493400992
2,0.1303475116044779,11,2,0.2754107438016504,0.8442975206611569,0.4956676412011887,0.6631429722774769,8.002939608154811,0,2,2.133101561354698,6,2,1,4.89900834965228,22.182605600625788,2,1,0,0.1215932914046122,1.6148629816685371
1,0.119956754882917,6,0,1.5608226121223516,0.6312629011071498,0.6293336043761089,0.8009871350376835,7.008274678914736,0,1,0.2539338936857123,4,2,1,4.897992195540317,4.9839785209472085,2,2,1,0.0598290598290598,2.220661953052826
1,0.1287610017676906,10,1,-0.5664776829993806,0.6923229517952789,0.5727402341237509,0.6864699457931531,8.001924238983477,0,1,1.3118348735555934,6,1,0,4.927296591061426,12.808212032003755,0,0,0,0.0957854406130268,1.8895907905509224
2,0.13959367840795,12,5,9.400246831597215,0.8541666666666666,0.3336771844660194,0.6221828057661235,8.008562217921972,1,1,1.0551791686195715,7,2,1,5.063721875540868,18.75721334893252,2,1,0,0.0982905982905983,1.4131161837780912
2,0.1617688162574855,10,2,2.4264674858223065,0.7769376181474478,0.4610802839522733,0.612486454948413,8.004596531773052,0,3,0.4978909578906803,2,2,1,4.865634510263743,18.75721334893252,3,3,1,0.0904392764857881,1.7235567838246408
1,0.1121668463035487,7,1,2.2258947368421067,0.6682825484764543,0.5547738067923863,0.6836607777967276,8.001921325686789,0,2,0.5601201115336095,5,2,1,5.068338822762737,9.374393568622027,2,2,1,0.0773809523809524,2.192103438917389
